filename,platform,gameId,gameVersion,patch,mapId,gameLength_s,size_bytes,sha256,n_chunks,zstd_ok
EUW1-7925097322.rofl,EUW1,7925097322,16.14.794.5912,16.14,11,1642.7,14054276,66cbb9644fe8f007f6f6d6f55906e7963dfe61c938efdb374d1cc302771750b8,85,True
EUW1-7925123365.rofl,EUW1,7925123365,16.14.794.5912,16.14,11,1373.4,10759658,31329adbcfd4478fd05f1dbad837385e95661b9dc82eefd15330cae6c905f92f,71,True
EUW1-7925141328.rofl,EUW1,7925141328,16.14.794.5912,16.14,11,2206.5,18742093,83e5c4e3ddf8df404089d46889b2aeb5d63b0acc783d29445a5dfd8f1e660643,113,True
EUW1-7925163532.rofl,EUW1,7925163532,16.14.794.5912,16.14,11,1593.1,15320562,f85dd3ee05fe31f9d405e15d263f2a7e92b549735a496d25008aeb94f0637ac5,83,True
EUW1-7925170407.rofl,EUW1,7925170407,16.14.794.5912,16.14,11,1378.2,10041608,05cd7780ea2757f8b4f8db9fd8a7676782f39370a21f98b564dc475ee7a5b420,71,True
EUW1-7925181941.rofl,EUW1,7925181941,16.14.794.5912,16.14,11,2196.8,17942413,9a1e7a0666b49d999ebaf6406e48d564073f0c89230575eace9155f640e30ff2,113,True
EUW1-7925195787.rofl,EUW1,7925195787,16.14.794.5912,16.14,11,1378.6,10728652,30ec0c970bc20d73abafdc8649066801120a02c6e0e7791cd29d13765e1931ff,71,True
EUW1-7925207361.rofl,EUW1,7925207361,16.14.794.5912,16.14,11,1113.4,8660366,86bc365c7911ceada30f176db817d7f63400e9f358f930cd1fcd6d8ad8e78d46,59,True
EUW1-7925212115.rofl,EUW1,7925212115,16.14.794.5912,16.14,11,1545.1,12722133,1041ebf280dcf0426ae73b45f428d73a534eef6bba10ceb5946ceb23dd81c041,80,True
EUW1-7925229031.rofl,EUW1,7925229031,16.14.794.5912,16.14,11,2100.9,16299287,6b30f68d2f86e74638019ac60d55fe730db438d70a7e59f99fa201eeb51f62a5,109,True
EUW1-7925242616.rofl,EUW1,7925242616,16.14.794.5912,16.14,11,1657.5,13776309,38c485f7516a92dd199fc3687e298eefcda3bb44bbdbf645cd2ef245e2b3a40e,86,True
EUW1-7925278245.rofl,EUW1,7925278245,16.14.794.5912,16.14,11,2140.8,19325381,dcc73ae18bc08c638d9089041d841ced90f2272a6a456bb9c3206e1b5b258d66,110,True
EUW1-7925313452.rofl,EUW1,7925313452,16.14.794.5912,16.14,11,1477.7,12043068,5aa367cca9ec97ccac8a70503e4bb25fa55c21b2321ede30a006dbfd5597c6d6,77,True
EUW1-7925322634.rofl,EUW1,7925322634,16.14.794.5912,16.14,11,1963.4,16520598,dfdfeb4559791535d15df15a09c0ca1f4fdb10bedf9f2c59d2b30fc6c089365c,101,True
EUW1-7925342959.rofl,EUW1,7925342959,16.14.794.5912,16.14,11,934.9,7074816,e85aae70d9788923397cd710189ca4691c7c754b73711b7562fc5deaea0fa050,50,True
EUW1-7925354709.rofl,EUW1,7925354709,16.14.794.5912,16.14,11,1949.8,15325416,f0caf824b85c5f82261f17b1132b061765951850431f12db55f681cc3dcbd586,100,True
EUW1-7925355434.rofl,EUW1,7925355434,16.14.794.5912,16.14,11,1772.4,13430822,6eae8b7059f40fa7e078da2d8fef7adc3623eb3d2837d8b6e48efa60ac03bb52,92,True
EUW1-7925357050.rofl,EUW1,7925357050,16.14.794.5912,16.14,11,962.5,9078040,52e683b36a3b5d29214b519d916c8fa2167076bcda6e5af6d545ed9a985d4ccf,52,True
EUW1-7925401554.rofl,EUW1,7925401554,16.14.794.5912,16.14,11,1490.9,12178839,ac7c95c91f3245606bbab3f42d8dd2adc3172ae70e7b33bab81e6ff64cfa2633,77,True
EUW1-7925403476.rofl,EUW1,7925403476,16.14.794.5912,16.14,11,2347.6,17439801,8be4ae0cf855338a5d1bc28e88240799f4c9ba25c35baa5967820902b80b2f25,121,True
EUW1-7925424322.rofl,EUW1,7925424322,16.14.794.5912,16.14,11,1811.4,14516119,721670e1477282559bd563e3f42a6868329237383eb33cdf02e69efd2842db80,94,True
EUW1-7925457332.rofl,EUW1,7925457332,16.14.794.5912,16.14,11,1849.2,14752884,13670dabdd0ad18129b3606107efebcf3d831f080b860540c7616747f5902f1a,95,True
EUW1-7925463664.rofl,EUW1,7925463664,16.14.794.5912,16.14,11,1470.7,11577506,6a378ea3792ce3291572bf5e0717b0875de883df48bf70b3d509c5898bfc87f6,77,True
EUW1-7925486523.rofl,EUW1,7925486523,16.14.794.5912,16.14,11,1505.4,12004473,8acf4d6076ae156bab81e0b70540319b5b4a822c06f4054d845e2b5ba4ac7a54,79,True
EUW1-7925595336.rofl,EUW1,7925595336,16.14.794.5912,16.14,11,1479.1,12682517,0532aa89b0c0785222434d8dd7aa588e1441be1118f70a0d5666b538dd0c338a,77,True
EUW1-7925596278.rofl,EUW1,7925596278,16.14.794.5912,16.14,11,2237.7,18769543,69e8fc4cc7216421421cc4da09ef9faa34250225fa103bf567ef14c3d0d7b346,115,True
EUW1-7925599417.rofl,EUW1,7925599417,16.14.794.5912,16.14,11,1978.1,14849029,ac89bba11d7651c36c007c13b417a164a4ab09aa738eb12b4adc785ad385a322,101,True
EUW1-7925607479.rofl,EUW1,7925607479,16.14.794.5912,16.14,11,1063.4,9157659,da01b05d08945b7150c86454c7ae8cd69d4cc2edb3c97f66e54daaf4a4853e79,375,True
EUW1-7925640007.rofl,EUW1,7925640007,16.14.794.5912,16.14,11,764.2,5145314,0c04370856cdf8f642e409e7bc2c40a6611ce319f427989e7288c34b7e11d10d,41,True
EUW1-7925646561.rofl,EUW1,7925646561,16.14.794.5912,16.14,11,2325.9,20924042,a1f8d12b73bedbed7bef88076f8e53ee99b5e582a99a30939129e32dfb363478,119,True
EUW1-7925663545.rofl,EUW1,7925663545,16.14.794.5912,16.14,11,2029.6,16525525,d8486dc7b9a937d6649ba18a36838184a0b31055433baf971c567d8b13fbc3d3,104,True
EUW1-7925673632.rofl,EUW1,7925673632,16.14.794.5912,16.14,11,1833.9,13904911,6cf199725af76a91d979d21535727b725e09a926907c25b7dd983cde445295b2,95,True
EUW1-7925678553.rofl,EUW1,7925678553,16.14.794.5912,16.14,11,2211.6,17432861,c8aba2db487eefa57ebee11089cfeaf13982e28380fc6359e8cbf43b5a4154e4,113,True
EUW1-7925698617.rofl,EUW1,7925698617,16.14.794.5912,16.14,11,819.1,6203186,a9cd881282ed7ab2cfa0e7d568565b9bd6a0174d54334d621f7b53473d8ee1b5,44,True
EUW1-7925719949.rofl,EUW1,7925719949,16.14.794.5912,16.14,11,1199.0,9546772,69bba61e2ade3be1b4dae905ee22070328571b4487a5702ab5ecd3b3489018fa,62,True
EUW1-7925726637.rofl,EUW1,7925726637,16.14.794.5912,16.14,11,2368.1,19299051,2979d9b5a80cdb5c07ec4120713b84c3768f3511dbe1d9201ee62e612ecd1e5e,121,True
EUW1-7925738431.rofl,EUW1,7925738431,16.14.794.5912,16.14,11,1314.8,10246157,05e5f36973bd25ff3a8f155475e5db665f1c3dc6a0b8c549c64e877f2ba7319d,68,True
EUW1-7925746519.rofl,EUW1,7925746519,16.14.794.5912,16.14,11,2381.4,18780775,3e8a9bcc7923e06516cb2e98e8a6f47f56a997b9009e67c4d8a183bf6a3fcbda,122,True
EUW1-7925764621.rofl,EUW1,7925764621,16.14.794.5912,16.14,11,2249.8,18670750,651d0db6c170c90a14e0bcdcee8ab1b0fede96d56fe99c7d21b1aa4b2a2a4b12,115,True
EUW1-7925781122.rofl,EUW1,7925781122,16.14.794.5912,16.14,11,1872.5,16229772,805dd8bd6482269166b8c08b5030d4db8ecdac968e08168e817bbe4b2c885474,97,True
